seconds,timecode,file,reason,diff
0.000,00:00:00,00-00-00_changed.jpg,changed,1.0000
15.000,00:00:15,00-00-15_changed.jpg,changed,0.3902
105.000,00:01:45,00-01-45_changed.jpg,changed,0.6059
135.000,00:02:15,00-02-15_changed.jpg,changed,0.4879
150.000,00:02:30,00-02-30_changed.jpg,changed,0.5011
270.000,00:04:30,00-04-30_changed.jpg,changed,0.2773
285.000,00:04:45,00-04-45_changed.jpg,changed,0.2723
315.000,00:05:15,00-05-15_changed.jpg,changed,0.2854
330.000,00:05:30,00-05-30_changed.jpg,changed,0.1980
345.000,00:05:45,00-05-45_changed.jpg,changed,0.3710
525.000,00:08:45,00-08-45_periodic.jpg,periodic,0.0711
615.000,00:10:15,00-10-15_changed.jpg,changed,0.0844
630.000,00:10:30,00-10-30_changed.jpg,changed,0.1068
645.000,00:10:45,00-10-45_changed.jpg,changed,0.0783
690.000,00:11:30,00-11-30_changed.jpg,changed,0.6207
705.000,00:11:45,00-11-45_changed.jpg,changed,0.6468
855.000,00:14:15,00-14-15_changed.jpg,changed,0.0800
900.000,00:15:00,00-15-00_changed.jpg,changed,0.0782
960.000,00:16:00,00-16-00_changed.jpg,changed,0.0786
975.000,00:16:15,00-16-15_changed.jpg,changed,0.0897
1095.000,00:18:15,00-18-15_changed.jpg,changed,0.0866
1140.000,00:19:00,00-19-00_changed.jpg,changed,0.0762
1185.000,00:19:45,00-19-45_changed.jpg,changed,0.0753
1290.000,00:21:30,00-21-30_changed.jpg,changed,0.0831
1320.000,00:22:00,00-22-00_changed.jpg,changed,0.0914
1410.000,00:23:30,00-23-30_changed.jpg,changed,0.0811
1455.000,00:24:15,00-24-15_changed.jpg,changed,0.1513
1470.000,00:24:30,00-24-30_changed.jpg,changed,0.1501
1485.000,00:24:45,00-24-45_changed.jpg,changed,0.1051
1590.000,00:26:30,00-26-30_changed.jpg,changed,0.0879
1665.000,00:27:45,00-27-45_changed.jpg,changed,0.0812
1680.000,00:28:00,00-28-00_changed.jpg,changed,0.0999
1725.000,00:28:45,00-28-45_changed.jpg,changed,0.0919
1770.000,00:29:30,00-29-30_changed.jpg,changed,0.0900
1830.000,00:30:30,00-30-30_changed.jpg,changed,0.0837
1845.000,00:30:45,00-30-45_changed.jpg,changed,0.0781
1905.000,00:31:45,00-31-45_changed.jpg,changed,0.0887
1935.000,00:32:15,00-32-15_changed.jpg,changed,0.0965
2010.000,00:33:30,00-33-30_changed.jpg,changed,0.0875
2070.000,00:34:30,00-34-30_changed.jpg,changed,0.0809
2145.000,00:35:45,00-35-45_changed.jpg,changed,0.0765
2175.000,00:36:15,00-36-15_changed.jpg,changed,0.0766
2190.000,00:36:30,00-36-30_changed.jpg,changed,0.0751
2295.000,00:38:15,00-38-15_changed.jpg,changed,0.0764
2415.000,00:40:15,00-40-15_changed.jpg,changed,0.0787
2475.000,00:41:15,00-41-15_changed.jpg,changed,0.0752
2655.000,00:44:15,00-44-15_periodic.jpg,periodic,0.0392
2730.000,00:45:30,00-45-30_changed.jpg,changed,0.2989
2745.000,00:45:45,00-45-45_changed.jpg,changed,0.2799
2850.000,00:47:30,00-47-30_changed.jpg,changed,0.2853
2865.000,00:47:45,00-47-45_changed.jpg,changed,0.2920
2955.000,00:49:15,00-49-15_changed.jpg,changed,0.0846
3030.000,00:50:30,00-50-30_changed.jpg,changed,0.0955
3045.000,00:50:45,00-50-45_changed.jpg,changed,0.0837
3180.000,00:53:00,00-53-00_changed.jpg,changed,0.0796
3210.000,00:53:30,00-53-30_changed.jpg,changed,0.0935
3225.000,00:53:45,00-53-45_changed.jpg,changed,0.0947
3405.000,00:56:45,00-56-45_changed.jpg,changed,0.0751
3450.000,00:57:30,00-57-30_changed.jpg,changed,0.0782
3510.000,00:58:30,00-58-30_changed.jpg,changed,0.0796
3645.000,01:00:45,01-00-45_changed.jpg,changed,0.3786
3660.000,01:01:00,01-01-00_changed.jpg,changed,0.3677
3840.000,01:04:00,01-04-00_periodic.jpg,periodic,0.0423
4020.000,01:07:00,01-07-00_periodic.jpg,periodic,0.0597
4200.000,01:10:00,01-10-00_periodic.jpg,periodic,0.0549
4215.000,01:10:15,01-10-15_changed.jpg,changed,0.0946
4230.000,01:10:30,01-10-30_changed.jpg,changed,0.0830
4275.000,01:11:15,01-11-15_changed.jpg,changed,0.0786
4320.000,01:12:00,01-12-00_changed.jpg,changed,0.0823
4350.000,01:12:30,01-12-30_changed.jpg,changed,0.0791
4455.000,01:14:15,01-14-15_changed.jpg,changed,0.0904
4545.000,01:15:45,01-15-45_changed.jpg,changed,0.0808
4575.000,01:16:15,01-16-15_changed.jpg,changed,0.0794
4740.000,01:19:00,01-19-00_changed.jpg,changed,0.0781
4755.000,01:19:15,01-19-15_changed.jpg,changed,0.1058
4935.000,01:22:15,01-22-15_periodic.jpg,periodic,0.0584
5115.000,01:25:15,01-25-15_periodic.jpg,periodic,0.0184
5295.000,01:28:15,01-28-15_periodic.jpg,periodic,0.0495
5460.000,01:31:00,01-31-00_changed.jpg,changed,0.0762
5505.000,01:31:45,01-31-45_changed.jpg,changed,0.0980
5535.000,01:32:15,01-32-15_changed.jpg,changed,0.0853
5715.000,01:35:15,01-35-15_periodic.jpg,periodic,0.0172
5880.000,01:38:00,01-38-00_changed.jpg,changed,0.0890
5895.000,01:38:15,01-38-15_changed.jpg,changed,0.1403
5910.000,01:38:30,01-38-30_changed.jpg,changed,0.0769
5940.000,01:39:00,01-39-00_changed.jpg,changed,0.1657
5955.000,01:39:15,01-39-15_changed.jpg,changed,0.0908
6060.000,01:41:00,01-41-00_changed.jpg,changed,0.1528
