area;type;access;http;card;list;labels;place;name;url;cardUrl
"email / уведомления";"другое";"доступ не проверен";"";"Регистрация на сайте rabota.ua";"Информация";"В работе";"описание";"";"https://robota.ua";"https://trello.com/c/lFuqVm1g/64-%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D1%8F-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B5-rabotaua"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Дизайнеры";"Информация";"Done. Testing";"вложение";"Desktop - 2 (4).png";"https://trello.com/1/cards/677a67db7f77cd9b87d3bcc8/attachments/67c4ac1f43350cb83d469b4f/download/Desktop_-_2_(4).png";"https://trello.com/c/ndCJvPF7/49-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80%D1%8B"
"дизайн / frontend";"таблица Google";"открывается";"200";"Карта чатов NEbula / Casual";"Информация";"";"описание";"";"https://docs.google.com/spreadsheets/d/1c6pd-EF_KP3UVB5xkP9P4uSVkRDEqILr/edit?usp=sharing&ouid=112752333312614828791&rtpof=true&sd=true";"https://trello.com/c/6tuZ8sB5/262-%D0%BA%D0%B0%D1%80%D1%82%D0%B0-%D1%87%D0%B0%D1%82%D0%BE%D0%B2-nebula-casual"
"общий источник";"другое";"доступ не проверен";"";"Сохранить лендинг по анализам";"Архив (Выполнено)";"В работе";"описание";"";"http://project11542495.tilda.ws/";"https://trello.com/c/GhCqaXXl/63-%D1%81%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D1%8C-%D0%BB%D0%B5%D0%BD%D0%B4%D0%B8%D0%BD%D0%B3-%D0%BF%D0%BE-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D0%BC"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Сохранить лендинг по анализам";"Архив (Выполнено)";"В работе";"вложение";"Blank page.pdf";"https://trello.com/1/cards/6799ebc0d66e4258389f87e8/attachments/6799ebc6f0e59070b1bbf2fe/download/Blank_page.pdf";"https://trello.com/c/GhCqaXXl/63-%D1%81%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D1%8C-%D0%BB%D0%B5%D0%BD%D0%B4%D0%B8%D0%BD%D0%B3-%D0%BF%D0%BE-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D0%BC"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Сохранить лендинг по анализам";"Архив (Выполнено)";"В работе";"вложение";"Blank page.htm";"https://trello.com/1/cards/6799ebc0d66e4258389f87e8/attachments/6799ebc78fae1c8a48aa11e1/download/Blank_page.htm";"https://trello.com/c/GhCqaXXl/63-%D1%81%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D1%8C-%D0%BB%D0%B5%D0%BD%D0%B4%D0%B8%D0%BD%D0%B3-%D0%BF%D0%BE-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D0%BC"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Сохранить лендинг по анализам";"Архив (Выполнено)";"В работе";"вложение";"Blank page.mhtml";"https://trello.com/1/cards/6799ebc0d66e4258389f87e8/attachments/6799ebc999d5ae076a3ffbfd/download/Blank_page.mhtml";"https://trello.com/c/GhCqaXXl/63-%D1%81%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D1%8C-%D0%BB%D0%B5%D0%BD%D0%B4%D0%B8%D0%BD%D0%B3-%D0%BF%D0%BE-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D0%BC"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Сохранить лендинг по анализам";"Архив (Выполнено)";"В работе";"вложение";"Downloaded Web Sites.zip";"https://trello.com/1/cards/6799ebc0d66e4258389f87e8/attachments/67adac3f71130a4027e8650d/download/Downloaded_Web_Sites.zip";"https://trello.com/c/GhCqaXXl/63-%D1%81%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D1%8C-%D0%BB%D0%B5%D0%BD%D0%B4%D0%B8%D0%BD%D0%B3-%D0%BF%D0%BE-%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D0%BC"
"общий источник";"таблица Google";"нет доступа";"401";"Таблица сравнения сайтов";"Архив (Выполнено)";"В работе";"описание";"";"https://docs.google.com/spreadsheets/d/1ZFIPIBptCEvh1TQdk4iqHWT_x1scM501TF89ZFRu0AE/edit?gid=0#gid=0";"https://trello.com/c/T1FgBdRQ/38-%D1%82%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0-%D1%81%D1%80%D0%B0%D0%B2%D0%BD%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81%D0%B0%D0%B9%D1%82%D0%BE%D0%B2"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Оценка функционала сайта RH / Содержанки";"Архив (Выполнено)";"";"вложение";"Оценка функционала сайта.docx";"https://trello.com/1/cards/66f2b3eed3313f5201c31280/attachments/66f2b67f557843692e4b8f9d/download/%D0%9E%D1%86%D0%B5%D0%BD%D0%BA%D0%B0_%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D0%B0_%D1%81%D0%B0%D0%B9%D1%82%D0%B0.docx";"https://trello.com/c/ANoE9iaC/8-%D0%BE%D1%86%D0%B5%D0%BD%D0%BA%D0%B0-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B0-rh-%D1%81%D0%BE%D0%B4%D0%B5%D1%80%D0%B6%D0%B0%D0%BD%D0%BA%D0%B8"
