List,Short,Name,Labels,Attachments,Comments,DescLength,Url,UpdateLabel
"План на Июнь","298","Codex plan","В работе; обновить","5","1","1424","https://trello.com/c/gJnFd2wT/298-codex-plan","true"
"План на Июнь","290","Прогнать все макеты готовых ТЗ через Codex","В работе","16","2","1176","https://trello.com/c/awgleR9M/290-%D0%BF%D1%80%D0%BE%D0%B3%D0%BD%D0%B0%D1%82%D1%8C-%D0%B2%D1%81%D0%B5-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D1%8B%D1%85-%D1%82%D0%B7-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex","false"
"План на Июнь","299","Email tempates","В работе","3","0","1467","https://trello.com/c/e8aFOO8G/299-email-tempates","false"
"План на Июнь","292","Описать регламент работы на основе Nebula / PbExpert","В работе","9","0","1833","https://trello.com/c/oZYN15XV/292-%D0%BE%D0%BF%D0%B8%D1%81%D0%B0%D1%82%D1%8C-%D1%80%D0%B5%D0%B3%D0%BB%D0%B0%D0%BC%D0%B5%D0%BD%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%8B-%D0%BD%D0%B0-%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%B5-nebula-pbexpert","false"
"План на Июнь","291","Продумать ЗП для сотрудников","обновить; В работе","4","0","1483","https://trello.com/c/bNsEmcDz/291-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B7%D0%BF-%D0%B4%D0%BB%D1%8F-%D1%81%D0%BE%D1%82%D1%80%D1%83%D0%B4%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2","true"
"План на Июнь","302","Школа экспертов для первых 5 экспертов","В работе","8","0","1654","https://trello.com/c/36nRKvdb/302-%D1%88%D0%BA%D0%BE%D0%BB%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2-%D0%B4%D0%BB%D1%8F-%D0%BF%D0%B5%D1%80%D0%B2%D1%8B%D1%85-5-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2","false"
"План на Июнь","303","Пакет рабочего места эксперта и агента в админке","ТЗ Игорю","3","0","1472","https://trello.com/c/bRjDaHwL/303-%D0%BF%D0%B0%D0%BA%D0%B5%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B5%D0%B3%D0%BE-%D0%BC%D0%B5%D1%81%D1%82%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%B0-%D0%B8-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D0%B0-%D0%B2-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B5","false"
"План на Июнь","304","Проверка страниц и функций перед запуском рекламы","В работе","14","0","1905","https://trello.com/c/A4zqo2EI/304-%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%BA%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%B9-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D0%BA%D0%BE%D0%BC-%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D1%8B","false"
"План на Июнь","301","Работа с Антоном / дизайн","Codex; На согласование","5","0","2166","https://trello.com/c/rlMQoaVy/301-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B0%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%BC-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD","false"
"План на Июнь","297","Новый макет страны / города","В работе","0","0","976","https://trello.com/c/PrkrhWqN/297-%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D1%8B-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0","false"
