"list","name","url","closed"
"Не актуально","Найти программиста на подстраховку RH и сайт содержанок","https://trello.com/c/etfIeQKE","False"
"Не актуально","Разработать главную страницу для сайта ""Содержанки""","https://trello.com/c/F3l0bty8","False"
"Не актуально","Исправить оставшиеся баги, недоработки (Андрей. прогер)","https://trello.com/c/8c2OxsJ3","False"
"Не актуально","Найти верстальщика","https://trello.com/c/PrSKGT6M","False"
"Полка (Когда-нибудь)","Голосовые сообщения в чате - надо ли?","https://trello.com/c/D2xhjBmF","False"
"Полка (Когда-нибудь)","Задать стартовую страницу сайта в соответствии с url","https://trello.com/c/tlzePEZt","False"
"Полка (Когда-нибудь)","ТЗ по рекламным модальным окнам","https://trello.com/c/3wV1VmG8","False"
"Полка (Когда-нибудь)","Доработать фильтр поиска под эзотерику N (после переноса)","https://trello.com/c/xDyet0Hc","False"
"Полка (Когда-нибудь)","Страница регистрации экспертов/агентов","https://trello.com/c/PTXlxb3k","False"
"Полка (Когда-нибудь)","Стоимость платных услуг в зависимости от регионов","https://trello.com/c/VHJDoEiO","False"
"Полка (Когда-нибудь)","Работа с верстальщиком по H","https://trello.com/c/3OCOHJF0","False"
"План на октябрь","Тестовое ТЗ для нового прогера","https://trello.com/c/CGZNEDnH","True"
"План на октябрь","Найти дизайнера","https://trello.com/c/N7vkvP1R","True"
"План декабрь","функционал по конвертированию загруженных картинок в формат webp","https://trello.com/c/yeivzuZG","True"
"План на январь","Программист 2 для YouDate","https://trello.com/c/0jPfnI40","True"
"План на февраль","! Прогер !","https://trello.com/c/93MboXel","True"
"План на февраль","Составить 10 ТЗ для прогера","https://trello.com/c/bqADOOyn","True"
"План на июнь","проанализировать вес контент из группы Небула и составить список непонятных вещей, вопросов и тд которые далее проработаем","https://trello.com/c/LzB7e7qX","True"
"План на октябрь","ТЗ по городам/странам","https://trello.com/c/tnpi1k6Q","True"
"План на январь","Стратегия","https://trello.com/c/E59YVnJA","True"
"План на февраль","Чат экстра","https://trello.com/c/SC7pFtDm","True"
"План на Июнь","Email tempates","https://trello.com/c/e8aFOO8G","False"
"Codex task","Задача 1","https://trello.com/c/jYLpcaMm","False"
"Codex task","P0-","https://trello.com/c/iutPrOjQ","False"
