"short","name","shortUrl","list","labels","descLen","comments","attachments","checklists"
"whZiCsxv","ТЗ аналитика на Дашборде","https://trello.com/c/whZiCsxv","На проверке","На согласование, ТЗ Игорю","535","0","1","0"
"hFPIK4R5","Статистика / аналитика","https://trello.com/c/hFPIK4R5","На проверке","ТЗ Игорю","59","0","1","0"
"RX4P6jw5","Макеты для почтовых рассылок (ИИ)","https://trello.com/c/RX4P6jw5","На проверке","На согласование, ТЗ Игорю","428","0","1","0"
"IRQiN429","ТЗ по тех поддержке на сайте (суппорт)","https://trello.com/c/IRQiN429","На проверке","На согласование, ТЗ Игорю","435","3","4","2"
"5cU9gpqd","Переводчик в чате (пользователь/агент)","https://trello.com/c/5cU9gpqd","На проверке","ТЗ Игорю","609","3","0","1"
"LYz7x7QS","ТЗ Ограничение отправки контактов в чате","https://trello.com/c/LYz7x7QS","На проверке","ТЗ Игорю","2739","6","2","2"
"GVvW2vR6","ТЗ. Отзывы и рейтинг специалистов (карточек специалистов)","https://trello.com/c/GVvW2vR6","На проверке","ТЗ Игорю","294","5","3","2"
"tHaAg57o","ТЗ по управлению email-рассылки из админки","https://trello.com/c/tHaAg57o","На проверке","ТЗ Игорю","355","3","4","2"
"CxEVl1q3","Отрисовка страницу ""Города""","https://trello.com/c/CxEVl1q3","Фоновые задачи","","137","10","3","2"
"PiXjxgGt","Переделать диалоговые окна","https://trello.com/c/PiXjxgGt","Фоновые задачи","В работе","261","9","12","2"
