slug,name,country,audit_status,panel_status,panel_photo_count,fresh_drive_photo_count,file_links_ok,folder_fetch_ok,folder_status,folder_entries,folder_url,drive_index_source_url,drive_index_source_mime_type,panel_photo_1,panel_photo_2,fresh_photo_1,fresh_photo_2,admin_url,public_url
munich,Munich,Germany,no_drive_folder,red,0,0,0,0,0,0,,,,,,,,https://confideline.com/ru/admin/geoname/update?id=2867714,https://confideline.com/city/munich
berlin,Berlin,Germany,no_drive_folder,red,0,0,0,0,0,0,,https://docs.google.com/document/d/1iOihLCIsUQCx4jFKXLSeTInoo50HLKZlAqfMobfKC3U/edit,application/vnd.google-apps.document,,,,,https://confideline.com/ru/admin/geoname/update?id=6547539,https://confideline.com/city/berlin
liverpool,Liverpool,United Kingdom,no_drive_folder,red,0,0,0,0,0,0,,,,,,,,https://confideline.com/ru/admin/geoname/update?id=2644210,https://confideline.com/city/liverpool
birmingham,Birmingham,United Kingdom,no_drive_folder,red,0,0,0,0,0,0,,https://docs.google.com/document/d/1ArstcgmyXq7com42-YFD4_JgJ6uvkXUjWU4A2MsEUCU/edit,application/vnd.google-apps.document,,,,,https://confideline.com/ru/admin/geoname/update?id=2655603,https://confideline.com/city/birmingham
manchester,Manchester,United Kingdom,no_drive_folder,red,0,0,0,0,0,0,,,,,,,,https://confideline.com/ru/admin/geoname/update?id=3333169,https://confideline.com/city/manchester
london,London,United Kingdom,no_drive_folder,red,0,0,0,0,0,0,,,,,,,,https://confideline.com/ru/admin/geoname/update?id=2643743,https://confideline.com/city/london
new-york-city,New York City,United States,no_drive_folder,red,0,0,0,0,0,0,,,,,,,,https://confideline.com/ru/admin/geoname/update?id=5128581,https://confideline.com/city/new-york-city
atlanta,Atlanta,United States,no_drive_folder,red,0,0,0,0,0,0,,https://docs.google.com/document/d/1bllO2RVAsTRha2ygZFPU9whfJauXOiUL_y5MqvOz9kc/edit,application/vnd.google-apps.document,,,,,https://confideline.com/ru/admin/geoname/update?id=4180439,https://confideline.com/city/atlanta
houston,Houston,United States,no_drive_folder,red,0,0,0,0,0,0,,https://docs.google.com/document/d/1A6DK1dMLwiPpLbq5LthAkv_7NBWNwiB46x6Z2FXSZ_s/edit,application/vnd.google-apps.document,,,,,https://confideline.com/ru/admin/geoname/update?id=4699066,https://confideline.com/city/houston
dallas,Dallas,United States,no_drive_folder,red,0,0,0,0,0,0,,https://docs.google.com/document/d/1ARv6WQT-uEQZuYINzQ1RGIbuc7uaKBp8VVyjG531S1c/edit,application/vnd.google-apps.document,,,,,https://confideline.com/ru/admin/geoname/update?id=4684888,https://confideline.com/city/dallas
austin,Austin,United States,no_drive_folder,red,0,0,0,0,0,0,,https://docs.google.com/document/d/1fEbGAXIYFeBP_806AvXi9ET3KCc3Atts-eSGVtzhDwg/edit,application/vnd.google-apps.document,,,,,https://confideline.com/ru/admin/geoname/update?id=4671654,https://confideline.com/city/austin
las-vegas,Las Vegas,United States,no_drive_folder,red,0,0,0,0,0,0,,,,,,,,https://confideline.com/ru/admin/geoname/update?id=5506956,https://confideline.com/city/las-vegas
san-diego,San Diego,United States,no_drive_folder,red,0,0,0,0,0,0,,,,,,,,https://confideline.com/ru/admin/geoname/update?id=5391811,https://confideline.com/city/san-diego
seattle,Seattle,United States,no_drive_folder,red,0,0,0,0,0,0,,,,,,,,https://confideline.com/ru/admin/geoname/update?id=5809844,https://confideline.com/city/seattle
boston,Boston,United States,no_drive_folder,red,0,0,0,0,0,0,,https://docs.google.com/document/d/1VrfGFOEPfOfcBdcS0M8SNEjbzGCR6Ta464jNcrNW414/edit,application/vnd.google-apps.document,,,,,https://confideline.com/ru/admin/geoname/update?id=4930956,https://confideline.com/city/boston
