order,type,name,slug,country,overall_status,problems,admin_edit_url,public_url,photo_folder_url,photo_1_view_url,photo_1_download_url,photo_2_view_url,photo_2_download_url,missing_photo_1,missing_photo_2,ru-ru_package,ru-ru_cms,ru-ru_fields_txt,ru-ru_html_txt,en-us_package,en-us_cms,en-us_fields_txt,en-us_html_txt,es-es_package,es-es_cms,es-es_fields_txt,es-es_html_txt,it-it_package,it-it_cms,it-it_fields_txt,it-it_html_txt,de-de_package,de-de_cms,de-de_fields_txt,de-de_html_txt,pt-br_package,pt-br_cms,pt-br_fields_txt,pt-br_html_txt
1,country,Latvia,latvia,Latvia,green,,https://confideline.com/ru/admin/country/update?id=458258,https://confideline.com/country/latvia,https://drive.google.com/drive/folders/1WO8kLDK8mhZYwzXDdPtKTp9B51ZE_q91,https://drive.google.com/file/d/11gNUms64F7OqZRWZIeLkDO91Mzg2Issb/view,https://drive.google.com/uc?export=download&id=11gNUms64F7OqZRWZIeLkDO91Mzg2Issb,https://drive.google.com/file/d/1b3JThW1ZNEtKIreWQkJOpwo0HwL62oOe/view,https://drive.google.com/uc?export=download&id=1b3JThW1ZNEtKIreWQkJOpwo0HwL62oOe,0,0,ok,pass,./files/countries/latvia/latvia-ru-ru-fields.txt,./files/countries/latvia/latvia-ru-ru-html-description.txt,ok,pass,./files/countries/latvia/latvia-en-us-fields.txt,./files/countries/latvia/latvia-en-us-html-description.txt,ok,pass,./files/countries/latvia/latvia-es-es-fields.txt,./files/countries/latvia/latvia-es-es-html-description.txt,ok,pass,./files/countries/latvia/latvia-it-it-fields.txt,./files/countries/latvia/latvia-it-it-html-description.txt,ok,pass,./files/countries/latvia/latvia-de-de-fields.txt,./files/countries/latvia/latvia-de-de-html-description.txt,ok,pass,./files/countries/latvia/latvia-pt-br-fields.txt,./files/countries/latvia/latvia-pt-br-html-description.txt
2,country,Japan,japan,Japan,red,Фото: нет 2,https://confideline.com/ru/admin/country/update?id=1861060,https://confideline.com/country/japan,https://drive.google.com/drive/folders/16pTDLkwalOS8T0WG9l6Igw_PtZsoHH8E,,,,,1,1,ok,pass,./files/countries/japan/japan-ru-ru-fields.txt,./files/countries/japan/japan-ru-ru-html-description.txt,ok,pass,./files/countries/japan/japan-en-us-fields.txt,./files/countries/japan/japan-en-us-html-description.txt,ok,pass,./files/countries/japan/japan-es-es-fields.txt,./files/countries/japan/japan-es-es-html-description.txt,ok,pass,./files/countries/japan/japan-it-it-fields.txt,./files/countries/japan/japan-it-it-html-description.txt,ok,pass,./files/countries/japan/japan-de-de-fields.txt,./files/countries/japan/japan-de-de-html-description.txt,ok,pass,./files/countries/japan/japan-pt-br-fields.txt,./files/countries/japan/japan-pt-br-html-description.txt
3,country,Italy,italy,Italy,red,Фото: нет 2,https://confideline.com/ru/admin/country/update?id=3175395,https://confideline.com/country/italy,https://drive.google.com/drive/folders/1vFDBPiPT05JP5kVHoIjSQ3wMsiFeUMUg,,,,,1,1,ok,pass,./files/countries/italy/italy-ru-ru-fields.txt,./files/countries/italy/italy-ru-ru-html-description.txt,ok,pass,./files/countries/italy/italy-en-us-fields.txt,./files/countries/italy/italy-en-us-html-description.txt,ok,pass,./files/countries/italy/italy-es-es-fields.txt,./files/countries/italy/italy-es-es-html-description.txt,ok,pass,./files/countries/italy/italy-it-it-fields.txt,./files/countries/italy/italy-it-it-html-description.txt,ok,pass,./files/countries/italy/italy-de-de-fields.txt,./files/countries/italy/italy-de-de-html-description.txt,ok,pass,./files/countries/italy/italy-pt-br-fields.txt,./files/countries/italy/italy-pt-br-html-description.txt
4,country,Indonesia,indonesia,Indonesia,green,,https://confideline.com/ru/admin/country/update?id=1643084,https://confideline.com/country/indonesia,https://drive.google.com/drive/folders/1aQO8RQE7DZW4lrDiWHevttybgM4p3FzZ,https://drive.google.com/file/d/1OD3s-te9ePmsMXfXjnsKuz4qSzcDN8hI/view,https://drive.google.com/uc?export=download&id=1OD3s-te9ePmsMXfXjnsKuz4qSzcDN8hI,https://drive.google.com/file/d/1_ODvj07ZHMRxm7pmrzKeow4R0aI79LfE/view,https://drive.google.com/uc?export=download&id=1_ODvj07ZHMRxm7pmrzKeow4R0aI79LfE,0,0,ok,pass,./files/countries/indonesia/indonesia-ru-ru-fields.txt,./files/countries/indonesia/indonesia-ru-ru-html-description.txt,ok,pass,./files/countries/indonesia/indonesia-en-us-fields.txt,./files/countries/indonesia/indonesia-en-us-html-description.txt,ok,pass,./files/countries/indonesia/indonesia-es-es-fields.txt,./files/countries/indonesia/indonesia-es-es-html-description.txt,ok,pass,./files/countries/indonesia/indonesia-it-it-fields.txt,./files/countries/indonesia/indonesia-it-it-html-description.txt,ok,pass,./files/countries/indonesia/indonesia-de-de-fields.txt,./files/countries/indonesia/indonesia-de-de-html-description.txt,ok,pass,./files/countries/indonesia/indonesia-pt-br-fields.txt,./files/countries/indonesia/indonesia-pt-br-html-description.txt
5,country,India,india,India,green,,https://confideline.com/ru/admin/country/update?id=1269750,https://confideline.com/country/india,https://drive.google.com/drive/folders/1li_fm4QNK1joGO8JvjJgS2oIZ-hNHBAv,https://drive.google.com/file/d/16T-CeLLzG443PYwqD4NTjsIFdIdKxb37/view,https://drive.google.com/uc?export=download&id=16T-CeLLzG443PYwqD4NTjsIFdIdKxb37,https://drive.google.com/file/d/14btS0AyH1FKOf_pav881hIHmg8uHAfgb/view,https://drive.google.com/uc?export=download&id=14btS0AyH1FKOf_pav881hIHmg8uHAfgb,0,0,ok,pass,./files/countries/india/india-ru-ru-fields.txt,./files/countries/india/india-ru-ru-html-description.txt,ok,pass,./files/countries/india/india-en-us-fields.txt,./files/countries/india/india-en-us-html-description.txt,ok,pass,./files/countries/india/india-es-es-fields.txt,./files/countries/india/india-es-es-html-description.txt,ok,pass,./files/countries/india/india-it-it-fields.txt,./files/countries/india/india-it-it-html-description.txt,ok,pass,./files/countries/india/india-de-de-fields.txt,./files/countries/india/india-de-de-html-description.txt,ok,pass,./files/countries/india/india-pt-br-fields.txt,./files/countries/india/india-pt-br-html-description.txt
6,country,Canada,canada,Canada,green,,https://confideline.com/ru/admin/country/update?id=6251999,https://confideline.com/country/canada,https://drive.google.com/drive/folders/1F_9XA9gUY2Tii_eVp7A6EpyTPQjR15hb,https://drive.google.com/file/d/1Mzv717f5_U5s0CUUrx1b9ga0O0e-ya2z/view,https://drive.google.com/uc?export=download&id=1Mzv717f5_U5s0CUUrx1b9ga0O0e-ya2z,https://drive.google.com/file/d/1y8OPpZat0-utUniaUM_xyOqVzcJEX0H8/view,https://drive.google.com/uc?export=download&id=1y8OPpZat0-utUniaUM_xyOqVzcJEX0H8,0,0,ok,pass,./files/countries/canada/canada-ru-ru-fields.txt,./files/countries/canada/canada-ru-ru-html-description.txt,ok,pass,./files/countries/canada/canada-en-us-fields.txt,./files/countries/canada/canada-en-us-html-description.txt,ok,pass,./files/countries/canada/canada-es-es-fields.txt,./files/countries/canada/canada-es-es-html-description.txt,ok,pass,./files/countries/canada/canada-it-it-fields.txt,./files/countries/canada/canada-it-it-html-description.txt,ok,pass,./files/countries/canada/canada-de-de-fields.txt,./files/countries/canada/canada-de-de-html-description.txt,ok,pass,./files/countries/canada/canada-pt-br-fields.txt,./files/countries/canada/canada-pt-br-html-description.txt
7,country,Belarus,belarus,Belarus,green,,https://confideline.com/ru/admin/country/update?id=630336,https://confideline.com/country/belarus,https://drive.google.com/drive/folders/1Xn0xhH4wW-E4DALwOZMdaduKD0CevwAI,https://drive.google.com/file/d/1reVc7DoisxLz1g2uXnAxZkBVydMG-ybh/view,https://drive.google.com/uc?export=download&id=1reVc7DoisxLz1g2uXnAxZkBVydMG-ybh,https://drive.google.com/file/d/15rRlJ67pSaVdkNWfQaz2wkk4ck6d8NBa/view,https://drive.google.com/uc?export=download&id=15rRlJ67pSaVdkNWfQaz2wkk4ck6d8NBa,0,0,ok,pass,./files/countries/belarus/belarus-ru-ru-fields.txt,./files/countries/belarus/belarus-ru-ru-html-description.txt,ok,pass,./files/countries/belarus/belarus-en-us-fields.txt,./files/countries/belarus/belarus-en-us-html-description.txt,ok,pass,./files/countries/belarus/belarus-es-es-fields.txt,./files/countries/belarus/belarus-es-es-html-description.txt,ok,pass,./files/countries/belarus/belarus-it-it-fields.txt,./files/countries/belarus/belarus-it-it-html-description.txt,ok,pass,./files/countries/belarus/belarus-de-de-fields.txt,./files/countries/belarus/belarus-de-de-html-description.txt,ok,pass,./files/countries/belarus/belarus-pt-br-fields.txt,./files/countries/belarus/belarus-pt-br-html-description.txt
8,country,Bosnia and Herzegovina,bosnia-and-herzegovina,Bosnia and Herzegovina,green,,https://confideline.com/ru/admin/country/update?id=3277605,https://confideline.com/country/bosnia-and-herzegovina,https://drive.google.com/drive/folders/1tvTpqvX6zSHNdT7ArIu-_JasBO6SjKkg,https://drive.google.com/file/d/1hVadVmJLwGKMH1DyARJs5h36PtHVF7u3/view,https://drive.google.com/uc?export=download&id=1hVadVmJLwGKMH1DyARJs5h36PtHVF7u3,https://drive.google.com/file/d/1rD5Wy7VQZ4GXF6aeT0lmxjlV7XcVBmLw/view,https://drive.google.com/uc?export=download&id=1rD5Wy7VQZ4GXF6aeT0lmxjlV7XcVBmLw,0,0,ok,pass,./files/countries/bosnia-and-herzegovina/bosnia-and-herzegovina-ru-ru-fields.txt,./files/countries/bosnia-and-herzegovina/bosnia-and-herzegovina-ru-ru-html-description.txt,ok,pass,./files/countries/bosnia-and-herzegovina/bosnia-and-herzegovina-en-us-fields.txt,./files/countries/bosnia-and-herzegovina/bosnia-and-herzegovina-en-us-html-description.txt,ok,pass,./files/countries/bosnia-and-herzegovina/bosnia-and-herzegovina-es-es-fields.txt,./files/countries/bosnia-and-herzegovina/bosnia-and-herzegovina-es-es-html-description.txt,ok,pass,./files/countries/bosnia-and-herzegovina/bosnia-and-herzegovina-it-it-fields.txt,./files/countries/bosnia-and-herzegovina/bosnia-and-herzegovina-it-it-html-description.txt,ok,pass,./files/countries/bosnia-and-herzegovina/bosnia-and-herzegovina-de-de-fields.txt,./files/countries/bosnia-and-herzegovina/bosnia-and-herzegovina-de-de-html-description.txt,ok,pass,./files/countries/bosnia-and-herzegovina/bosnia-and-herzegovina-pt-br-fields.txt,./files/countries/bosnia-and-herzegovina/bosnia-and-herzegovina-pt-br-html-description.txt
9,country,Brazil,brazil,Brazil,green,,https://confideline.com/ru/admin/country/update?id=3469034,https://confideline.com/country/brazil,https://drive.google.com/drive/folders/1hGZ9fgZmYA7JD21wvR4ah5R1Gu3SPCKt,https://drive.google.com/file/d/1-6IwdGA2PqjZfUNHPXyH21b2RveeZR1a/view,https://drive.google.com/uc?export=download&id=1-6IwdGA2PqjZfUNHPXyH21b2RveeZR1a,https://drive.google.com/file/d/1x0HxFfbmo4StN_Crl1N_uQYWRi0wFcgN/view,https://drive.google.com/uc?export=download&id=1x0HxFfbmo4StN_Crl1N_uQYWRi0wFcgN,0,0,ok,pass,./files/countries/brazil/brazil-ru-ru-fields.txt,./files/countries/brazil/brazil-ru-ru-html-description.txt,ok,pass,./files/countries/brazil/brazil-en-us-fields.txt,./files/countries/brazil/brazil-en-us-html-description.txt,ok,pass,./files/countries/brazil/brazil-es-es-fields.txt,./files/countries/brazil/brazil-es-es-html-description.txt,ok,pass,./files/countries/brazil/brazil-it-it-fields.txt,./files/countries/brazil/brazil-it-it-html-description.txt,ok,pass,./files/countries/brazil/brazil-de-de-fields.txt,./files/countries/brazil/brazil-de-de-html-description.txt,ok,pass,./files/countries/brazil/brazil-pt-br-fields.txt,./files/countries/brazil/brazil-pt-br-html-description.txt
10,country,Azerbaijan,azerbaijan,Azerbaijan,green,,https://confideline.com/ru/admin/country/update?id=587116,https://confideline.com/country/azerbaijan,https://drive.google.com/drive/folders/1lJYQPZQJ5AVKYF3zxSzkReuaffrBfCmX,https://drive.google.com/file/d/1ky1dPqI7KrUp0irCW54twYWUhxT_i9os/view,https://drive.google.com/uc?export=download&id=1ky1dPqI7KrUp0irCW54twYWUhxT_i9os,https://drive.google.com/file/d/1kzaMurq_N_oFOEGio7s4sQp-rj3Z2Hxb/view,https://drive.google.com/uc?export=download&id=1kzaMurq_N_oFOEGio7s4sQp-rj3Z2Hxb,0,0,ok,pass,./files/countries/azerbaijan/azerbaijan-ru-ru-fields.txt,./files/countries/azerbaijan/azerbaijan-ru-ru-html-description.txt,ok,pass,./files/countries/azerbaijan/azerbaijan-en-us-fields.txt,./files/countries/azerbaijan/azerbaijan-en-us-html-description.txt,ok,pass,./files/countries/azerbaijan/azerbaijan-es-es-fields.txt,./files/countries/azerbaijan/azerbaijan-es-es-html-description.txt,ok,pass,./files/countries/azerbaijan/azerbaijan-it-it-fields.txt,./files/countries/azerbaijan/azerbaijan-it-it-html-description.txt,ok,pass,./files/countries/azerbaijan/azerbaijan-de-de-fields.txt,./files/countries/azerbaijan/azerbaijan-de-de-html-description.txt,ok,pass,./files/countries/azerbaijan/azerbaijan-pt-br-fields.txt,./files/countries/azerbaijan/azerbaijan-pt-br-html-description.txt
