slug,name,audit_status,panel_status,panel_photo_count,fresh_drive_photo_count,file_links_ok,folder_fetch_ok,folder_status,folder_entries,folder_url,panel_photo_1,panel_photo_2,fresh_photo_1,fresh_photo_2,admin_url,public_url
latvia,Latvia,ok_confirmed,green,2,2,2,1,200,5,https://drive.google.com/drive/folders/1WO8kLDK8mhZYwzXDdPtKTp9B51ZE_q91,Gemini_Generated_Image_18yrad18yrad18yr.png,Gemini_Generated_Image_yk6nasyk6nasyk6n.png,Gemini_Generated_Image_18yrad18yrad18yr.png,Gemini_Generated_Image_yk6nasyk6nasyk6n.png,https://confideline.com/ru/admin/country/update?id=458258,https://confideline.com/country/latvia
japan,Japan,drive_folder_missing_photos,red,0,0,0,1,200,4,https://drive.google.com/drive/folders/16pTDLkwalOS8T0WG9l6Igw_PtZsoHH8E,,,,,https://confideline.com/ru/admin/country/update?id=1861060,https://confideline.com/country/japan
italy,Italy,drive_folder_missing_photos,red,0,0,0,1,200,15,https://drive.google.com/drive/folders/1vFDBPiPT05JP5kVHoIjSQ3wMsiFeUMUg,,,,,https://confideline.com/ru/admin/country/update?id=3175395,https://confideline.com/country/italy
indonesia,Indonesia,ok_confirmed,green,2,2,2,1,200,5,https://drive.google.com/drive/folders/1aQO8RQE7DZW4lrDiWHevttybgM4p3FzZ,2Gemini_Generated_Image_cb5gyucb5gyucb5g.png,2Gemini_Generated_Image_radlzlradlzlradl.png,2Gemini_Generated_Image_cb5gyucb5gyucb5g.png,2Gemini_Generated_Image_radlzlradlzlradl.png,https://confideline.com/ru/admin/country/update?id=1643084,https://confideline.com/country/indonesia
india,India,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1li_fm4QNK1joGO8JvjJgS2oIZ-hNHBAv,2Gemini_Generated_Image_oalhhooalhhooalh.png,Gemini_Generated_Image_e3qojre3qojre3qo.png,2Gemini_Generated_Image_oalhhooalhhooalh.png,Gemini_Generated_Image_e3qojre3qojre3qo.png,https://confideline.com/ru/admin/country/update?id=1269750,https://confideline.com/country/india
canada,Canada,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1F_9XA9gUY2Tii_eVp7A6EpyTPQjR15hb,4c25e5f3-49b5-44c0-9321-dfb356d5022e.jpg,246fb5c1-4878-4704-bbbe-6d83e0af5533.jpg,4c25e5f3-49b5-44c0-9321-dfb356d5022e.jpg,246fb5c1-4878-4704-bbbe-6d83e0af5533.jpg,https://confideline.com/ru/admin/country/update?id=6251999,https://confideline.com/country/canada
belarus,Belarus,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1Xn0xhH4wW-E4DALwOZMdaduKD0CevwAI,2Gemini_Generated_Image_s2ztlas2ztlas2zt.png,Gemini_Generated_Image_56n5156n5156n515.png,2Gemini_Generated_Image_s2ztlas2ztlas2zt.png,Gemini_Generated_Image_56n5156n5156n515.png,https://confideline.com/ru/admin/country/update?id=630336,https://confideline.com/country/belarus
bosnia-and-herzegovina,Bosnia and Herzegovina,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1tvTpqvX6zSHNdT7ArIu-_JasBO6SjKkg,2Gemini_Generated_Image_6s30kg6s30kg6s30.png,Gemini_Generated_Image_fbs5h4fbs5h4fbs5.png,2Gemini_Generated_Image_6s30kg6s30kg6s30.png,Gemini_Generated_Image_fbs5h4fbs5h4fbs5.png,https://confideline.com/ru/admin/country/update?id=3277605,https://confideline.com/country/bosnia-and-herzegovina
brazil,Brazil,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1hGZ9fgZmYA7JD21wvR4ah5R1Gu3SPCKt,25d015e88-34cd-436d-93d0-4fec7b29b264.jpg,d784a5bb-5e19-4301-8dab-1102c573b1f8.jpg,25d015e88-34cd-436d-93d0-4fec7b29b264.jpg,d784a5bb-5e19-4301-8dab-1102c573b1f8.jpg,https://confideline.com/ru/admin/country/update?id=3469034,https://confideline.com/country/brazil
azerbaijan,Azerbaijan,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1lJYQPZQJ5AVKYF3zxSzkReuaffrBfCmX,2Gemini_Generated_Image_qwhnb8qwhnb8qwhn.png,Gemini_Generated_Image_6yjxyk6yjxyk6yjx.png,2Gemini_Generated_Image_qwhnb8qwhnb8qwhn.png,Gemini_Generated_Image_6yjxyk6yjxyk6yjx.png,https://confideline.com/ru/admin/country/update?id=587116,https://confideline.com/country/azerbaijan
hong-kong,Hong Kong,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1vGtea0OMYRqRQseUoch4smLfv-jwe1TA,8b736c39-ea9a-44fc-92e1-08ec5eebd9b6.jpg,27eef6da1-cc92-4ced-a24b-2c0b98fad1bb.jpg,8b736c39-ea9a-44fc-92e1-08ec5eebd9b6.jpg,27eef6da1-cc92-4ced-a24b-2c0b98fad1bb.jpg,https://confideline.com/ru/admin/country/update?id=1819730,https://confideline.com/country/hong-kong
germany,Germany,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1C9tfOqpxEYa_0CiLqv0wg9I35SfJNR_1,22d28ab2-b845-44b8-acb6-d562619ff789.jpg,2303a2d73-be0c-4e4e-b277-b39cb7eb02aa.jpg,22d28ab2-b845-44b8-acb6-d562619ff789.jpg,2303a2d73-be0c-4e4e-b277-b39cb7eb02aa.jpg,https://confideline.com/ru/admin/country/update?id=2921044,https://confideline.com/country/germany
georgia,Georgia,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1nuB22eqwFfiYivMAIu6EQOQ9kgLGACAa,24a2391aa-42af-4407-81dc-6434ca75e337.jpg,130bf42c-8697-4b77-aeb5-5316198a3e7c.jpg,24a2391aa-42af-4407-81dc-6434ca75e337.jpg,130bf42c-8697-4b77-aeb5-5316198a3e7c.jpg,https://confideline.com/ru/admin/country/update?id=614540,https://confideline.com/country/georgia
australia,Australia,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1w-kDw3Ky1HxcP5HCpQF-HokoA5RpzFZu,2Gemini_Generated_Image_ctxjtmctxjtmctxj.png,Gemini_Generated_Image_l3l5nnl3l5nnl3l5.png,2Gemini_Generated_Image_ctxjtmctxjtmctxj.png,Gemini_Generated_Image_l3l5nnl3l5nnl3l5.png,https://confideline.com/ru/admin/country/update?id=2077456,https://confideline.com/country/australia
estonia,Estonia,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1ktAq5ZnCBFeD56xx-OOi6sAOA6UMJQ7N,8f8c2e76-c34a-4c15-bfee-9bf50aaeabf8.jpg,2376807e8-cf4e-4dc8-9e6b-42947f7875b6.jpg,8f8c2e76-c34a-4c15-bfee-9bf50aaeabf8.jpg,2376807e8-cf4e-4dc8-9e6b-42947f7875b6.jpg,https://confideline.com/ru/admin/country/update?id=453733,https://confideline.com/country/estonia
croatia,Croatia,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1ngNTZBJ5KIPe09m0IWUvsk9mpoqI4aQH,2584ddeb8-5294-4d6e-8131-425dd5fcde3a.jpg,bafab437-ffe9-46ab-b567-ace2ecba433d.jpg,2584ddeb8-5294-4d6e-8131-425dd5fcde3a.jpg,bafab437-ffe9-46ab-b567-ace2ecba433d.jpg,https://confideline.com/ru/admin/country/update?id=3202326,https://confideline.com/country/croatia
czech-republic,Czech Republic,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1AMXp5lrLW2FgiRsPGfbwE9X5zKtRVit9,2813068ee-99b0-4686-b605-01c64c521210.jpg,d6320fc4-c1ae-4fc1-ad26-1829a50a30ed.jpg,2813068ee-99b0-4686-b605-01c64c521210.jpg,d6320fc4-c1ae-4fc1-ad26-1829a50a30ed.jpg,https://confideline.com/ru/admin/country/update?id=3077311,https://confideline.com/country/czech-republic
colombia,Colombia,ok_confirmed,green,2,2,2,1,200,4,https://drive.google.com/drive/folders/1Qx9XGMX7UTwDfrbXYWi6i9yN6Qm9nnDI,2c87f844a-7015-44a2-9825-9075e6608028.jpg,a5a76b3f-37ac-4f43-b2ee-a1391a7c15bf.jpg,2c87f844a-7015-44a2-9825-9075e6608028.jpg,a5a76b3f-37ac-4f43-b2ee-a1391a7c15bf.jpg,https://confideline.com/ru/admin/country/update?id=3686110,https://confideline.com/country/colombia
